Data;Ora;Temperatura;precipitazione mm;umidità relativa %;Radiazione globale;Velocità vento; Altezza neve
22/03/2020;0:00;-3.4;0.0;86.0;0.0;0.7;206.0
22/03/2020;0:10;-3.7;0.0;88.0;0.0;0.5;206.0
22/03/2020;0:20;-3.8;0.0;88.0;0.0;1.2;207.0
22/03/2020;0:30;-3.4;0.0;87.0;0.0;0.9;206.0
22/03/2020;0:40;-3.3;0.0;85.0;0.0;0.5;206.0
22/03/2020;0:50;-3.5;0.0;85.0;0.0;0.3;206.0
22/03/2020;1:00;-3.9;0.0;88.0;0.0;0.1;206.0
22/03/2020;1:10;-4.4;0.0;89.0;0.0;0.0;206.0
22/03/2020;1:20;-4.8;0.0;92.0;0.0;0.5;206.0
22/03/2020;1:30;-4.7;0.0;93.0;0.0;0.4;206.0
22/03/2020;1:40;-4.8;0.0;94.0;0.0;0.5;206.0
22/03/2020;1:50;-4.6;0.0;94.0;0.0;0.3;206.0
22/03/2020;2:00;-4.4;0.0;95.0;0.0;1.2;206.0
22/03/2020;2:10;-4.2;0.0;93.0;0.0;1.8;206.0
22/03/2020;2:20;-3.7;0.0;89.0;0.0;0.8;206.0
22/03/2020;2:30;-3.9;0.0;91.0;0.0;0.3;206.0
22/03/2020;2:40;-4.2;0.0;93.0;0.0;0.1;209.0
22/03/2020;2:50;-4.2;0.0;94.0;0.0;0.6;207.0
22/03/2020;3:00;-4.1;0.0;94.0;0.0;0.3;207.0
22/03/2020;3:10;-4.1;0.0;95.0;0.0;0.0;211.0
22/03/2020;3:20;-4.1;0.0;95.0;0.0;0.0;211.0
22/03/2020;3:30;-4.2;0.0;96.0;0.0;0.3;212.0
22/03/2020;3:40;-4.2;0.0;96.0;0.0;0.3;212.0
22/03/2020;3:50;-4.2;0.0;96.0;0.0;0.1;212.0
22/03/2020;4:00;-4.2;0.0;96.0;0.0;0.0;212.0
22/03/2020;4:10;-4.3;0.0;96.0;0.0;0.1;212.0
22/03/2020;4:20;-4.3;0.0;96.0;0.0;0.3;212.0
22/03/2020;4:30;-4.3;0.0;96.0;0.0;0.5;212.0
22/03/2020;4:40;-4.3;0.0;96.0;0.0;0.4;212.0
22/03/2020;4:50;-4.4;0.0;97.0;0.0;0.4;212.0
22/03/2020;5:00;-4.3;0.0;96.0;0.0;0.0;211.0
22/03/2020;5:10;-4.3;0.0;95.0;0.0;0.0;211.0
22/03/2020;5:20;-4.4;0.0;95.0;0.0;0.0;211.0
22/03/2020;5:30;-4.4;0.0;95.0;0.0;0.0;212.0
22/03/2020;5:40;-4.4;0.0;95.0;0.0;0.0;212.0
22/03/2020;5:50;-4.3;0.0;94.0;0.0;0.0;212.0
22/03/2020;6:00;-4.3;0.0;94.0;0.0;0.0;212.0
22/03/2020;6:10;-4.6;0.0;94.0;0.0;0.1;212.0
22/03/2020;6:20;-4.8;0.0;94.0;0.0;0.1;212.0
22/03/2020;6:30;-5.0;0.0;95.0;0.0;0.4;212.0
22/03/2020;6:40;-5.0;0.0;95.0;0.0;0.5;212.0
22/03/2020;6:50;-4.8;0.0;93.0;0.0;1.0;212.0
22/03/2020;7:00;-4.7;0.0;91.0;0.0;0.6;212.0
22/03/2020;7:10;-4.4;0.0;91.0;0.0;0.2;212.0
22/03/2020;7:20;-4.0;0.0;88.0;11.0;0.4;212.0
22/03/2020;7:30;-3.4;0.0;86.0;31.0;0.7;211.0
22/03/2020;7:40;-3.1;0.0;84.0;36.0;0.6;209.0
22/03/2020;7:50;-3.1;0.0;82.0;38.0;0.6;211.0
22/03/2020;8:00;-3.4;0.0;87.0;58.0;0.6;212.0
22/03/2020;8:10;-2.8;0.0;81.0;67.0;0.9;208.0
22/03/2020;8:20;-2.3;0.0;75.0;61.0;0.8;208.0
22/03/2020;8:30;-2.8;0.0;76.0;48.0;1.2;211.0
22/03/2020;8:40;-3.2;0.0;78.0;65.0;1.2;208.0
22/03/2020;8:50;-3.1;0.0;79.0;79.0;0.5;209.0
22/03/2020;9:00;-1.4;0.0;74.0;91.0;0.0;208.0
22/03/2020;9:10;-0.3;0.0;69.0;96.0;0.2;207.0
22/03/2020;9:20;1.2;0.0;65.0;145.0;0.2;207.0
22/03/2020;9:30;1.9;0.4;61.0;140.0;0.2;206.0
22/03/2020;9:40;1.5;0.2;65.0;150.0;0.2;206.0
22/03/2020;9:50;1.3;0.2;66.0;107.0;0.8;207.0
22/03/2020;10:00;1.0;0.2;71.0;206.0;0.3;205.0
22/03/2020;10:10;4.3;0.6;55.0;184.0;0.5;204.0
22/03/2020;10:20;4.0;0.2;54.0;223.0;0.8;205.0
22/03/2020;10:30;3.3;0.4;55.0;274.0;0.9;205.0
22/03/2020;10:40;1.9;0.4;60.0;327.0;1.6;206.0
22/03/2020;10:50;1.8;0.4;58.0;365.0;0.9;205.0
